CPU Package,CPU,Motherboard,GPU Thermal Diode
31,34,27,31
24.3,34,27,31
19.1,34,27,31
22.5,34,27,31
26.5,34,27,31
31.8,34,27,31
29.9,34,27,31
36.6,35,27,31
33.1,35,27,30
26.1,35,27,30
28.5,35,27,30
21.5,35,27,30
19.5,35,27,30
20.4,35,27,30
28.3,35,27,30
27.9,35,27,30
33.8,35,27,30
29.4,35,27,30
25.4,36,27,30
31.1,36,27,32
32.9,36,27,33
27.6,37,27,33
25.8,37,27,33
31.1,37,27,33
28,37,27,34
21.5,37,27,33
21,37,27,32
21,36,27,32
20.9,36,27,32
20.9,36,27,31
21.1,36,27,31
29.4,36,27,31
23.3,36,27,31
28.1,36,27,31
32.5,36,27,31
33.1,36,27,33
27.9,37,27,34
22,37,27,34
21.8,36,27,33
21.3,36,27,33
21.3,36,27,32
30,36,27,33
39.1,36,27,34
36,37,27,34
40.1,37,27,33
38.3,37,27,33
32.3,38,27,33
25.3,38,27,32
22,37,27,32
28.3,37,27,32
31.4,37,27,32
38.6,37,27,34
37.9,37,27,34
39.3,38,27,35
39.4,38,27,33
37.9,38,27,35
42.9,39,27,35
36,39,27,36
29,39,27,37
23,38,27,37
23.6,38,27,38
22.6,38,27,38
22.8,38,27,38
29.1,38,27,38
22.9,37,27,39
22.9,37,27,39
22.8,37,27,39
22.3,37,27,39
22.1,37,27,40
22.5,37,27,40
22.5,37,27,40
22.8,37,27,40
22.6,37,27,41
22.3,37,27,41
22,37,27,41
22.1,37,27,41
23.1,37,27,41
22.4,37,27,42
22.5,37,27,42
28.3,37,27,42
21.9,37,27,43
21.8,37,27,43
21.8,37,27,43
25,36,27,43
21.8,36,27,43
23,36,27,43
21.8,36,27,43
24.1,36,27,43
21.5,36,27,44
23.4,36,27,44
23.6,36,27,44
21.8,36,27,44
21.5,36,27,44
21.6,36,27,44
22,36,27,45
28.5,36,27,45
21.6,36,27,45
21.3,36,27,45
21.5,36,27,45
21.5,36,27,45
22.1,36,27,45
21.8,36,27,45
25.1,36,27,45
22.8,36,27,45
22.5,36,27,46
23.1,36,27,46
36.4,37,27,44
33.9,37,27,44
32.8,37,27,47
33.1,38,27,47
33.4,39,27,47
33.6,39,27,48
33.8,40,27,48
34.1,40,27,48
34.5,41,27,48
34.9,41,27,49
35.3,41,27,49
35.9,42,27,49
36.4,42,27,50
36.9,43,27,50
37.3,43,27,50
37.8,43,27,50
38,43,27,50
38.4,44,27,50
38.8,44,27,50
39.3,44,27,50
39.6,45,27,51
40,45,27,51
40.5,45,27,51
40.9,45,27,51
41.3,46,27,51
41.6,46,27,51
41.8,46,27,51
42,46,27,51
42.5,47,27,51
43,47,27,51
43.1,47,27,51
43.6,47,27,51
43.8,48,27,51
44.1,48,27,51
44.4,48,27,51
44.6,48,27,51
50.6,48,27,51
48.4,49,27,51
48.4,49,27,51
48.5,50,27,51
49,50,27,51
49,51,27,51
49.5,51,27,51
48.4,51,27,50
50.6,51,27,51
50.6,52,27,50
51.1,52,27,50
51.1,52,27,50
51.5,52,27,50
52,53,27,50
52,53,27,50
54,53,27,50
52.9,54,27,50
52.4,54,27,50
52.9,54,27,50
52.8,54,27,50
53.3,54,27,49
53.3,54,27,49
53.3,54,27,49
53.8,55,27,50
53.9,55,27,50
53.8,55,27,49
54.5,55,27,49
54.6,55,27,50
54.8,55,27,50
55.4,56,27,49
55.3,56,27,50
55.4,56,27,49
55.5,57,27,50
55.6,57,27,49
55.8,57,27,49
56,57,27,49
55.9,57,27,49
56.5,57,27,49
56.8,57,27,50
56.5,57,27,49
56.5,57,27,49
56.5,58,27,49
55.8,57,27,49
57,58,27,49
57.4,58,27,49
56.8,59,27,49
57.5,59,27,50
57.6,59,27,50
57.9,59,27,50
57.5,59,27,50
57.4,59,27,50
58,59,27,49
57,59,27,49
57.8,59,27,49
58,59,27,49
57.5,59,27,49
57.9,59,27,49
58.5,59,27,49
58.9,59,27,50
58.5,60,27,50
57.9,60,27,50
57.9,60,27,49
57.6,60,27,49
57.9,60,27,49
58.3,60,27,49
58.9,61,27,49
59.1,60,27,49
59.1,60,27,49
59.3,61,27,49
59.3,61,27,50
59.4,61,27,49
59.3,61,27,49
59.3,61,27,49
59.5,61,27,49
59.9,61,27,49
59.8,61,27,49
59.6,61,27,49
59.9,61,27,49
60.3,61,27,49
60.5,61,27,49
59.9,62,28,48
59.6,62,27,48
59.8,61,27,49
59.9,62,27,49
59.6,62,27,49
59.8,62,27,49
59.5,62,27,48
59.9,62,27,49
60.1,62,27,48
59.9,62,27,48
60.1,62,27,48
60,62,28,49
60,62,28,49
59.9,62,28,49
59.8,62,28,48
59.8,62,28,49
59.8,62,28,49
59.8,62,28,49
60.3,62,28,49
60,62,28,49
59.6,62,28,49
59.6,62,28,49
59.8,62,28,49
59.8,62,28,49
59,62,28,49
59.8,63,28,49
59.8,62,28,49
59.8,62,28,49
59.3,62,28,49
59.8,63,28,49
59.8,62,28,49
59.9,63,28,49
59.9,63,28,49
59.8,62,28,49
59.3,63,28,49
59.5,62,28,49
59.9,63,28,49
59.9,63,28,48
59.3,62,28,49
59,62,28,49
58.8,62,28,49
59.6,63,28,49
60.1,63,28,49
60,63,28,49
59.6,63,28,49
59.3,63,28,49
59.5,63,28,49
59.5,63,28,49
59.6,63,28,49
59.8,63,28,49
60.3,63,28,49
59.3,63,28,49
59.1,63,28,49
59.5,63,28,49
59.3,63,28,49
59.3,63,28,49
59.5,63,28,49
59.5,63,28,49
59.5,63,28,49
59.8,63,28,49
59.5,63,28,49
59.5,63,28,49
59.8,63,28,49
59.5,63,28,49
59.6,63,28,49
58.6,63,28,49
59,63,28,49
59,63,28,49
59.3,63,28,49
59.4,63,28,49
59.1,63,28,49
59.3,63,28,49
59.6,63,28,49
59.1,63,28,49
59.3,63,28,49
58.8,63,28,49
59,63,28,49
59.5,63,28,49
59.5,63,28,49
59.4,63,28,49
60,63,28,49
59.4,63,28,49
60.3,63,28,49
60.1,63,28,49
59.6,63,28,49
59.8,63,28,49
59.4,63,28,49
59.6,63,28,49
59.4,63,28,49
59.4,63,28,49
59.1,63,28,49
58.6,63,28,49
58.8,63,28,49
59,63,28,49
60.3,63,28,50
59.9,63,28,50
60,63,28,50
60.4,63,28,50
60.1,63,28,50
61,64,28,50
60.5,64,28,50
60.6,64,28,50
60.6,64,28,50
59.9,64,28,50
59.6,64,28,50
59.5,64,28,50
59.3,64,28,50
58.5,64,28,50
59.9,63,28,50
60.1,64,28,50
59.9,64,28,50
59.5,63,28,50
59.3,63,28,50
59.6,63,28,50
59.1,63,28,50
59.5,63,28,50
59.1,63,28,50
58.9,63,28,50
58.9,63,28,50
59.3,63,28,50
58.5,63,28,50
58.5,63,28,50
58.9,63,28,50
59.3,63,28,50
59.8,63,28,50
59.6,63,28,50
59.9,63,28,50
59.5,63,28,50
59.1,63,28,50
59.3,63,28,50
59.1,63,28,50
58.3,63,28,50
58.3,63,28,50
58.5,63,28,50
58.5,63,28,50
59.4,63,28,50
58.5,63,28,51
59.1,63,28,50
59,63,28,51
58.8,63,28,50
59,63,28,50
58.8,63,28,50
59.1,63,28,50
59,63,28,50
59,63,28,50
59.6,63,28,50
59.3,63,28,50
59.1,63,28,50
59.1,63,28,50
59,63,28,50
58.8,63,28,50
59.3,63,28,50
58.6,63,28,50
59,63,28,49
58.9,63,28,50
59,63,28,51
60.1,63,28,49
53.5,63,28,48
